Domain,Questions
Artificial Intelligence,"What is a neural network?"
Artificial Intelligence,"Explain the concept of overfitting."
Artificial Intelligence,"How does a random forest work?"
Artificial Intelligence,"What is supervised learning?"
Artificial Intelligence,"Describe unsupervised learning."
Artificial Intelligence,"What is the role of backpropagation in neural networks?"
Artificial Intelligence,"Explain the difference between deep learning and machine learning."
Artificial Intelligence,"What is reinforcement learning?"
Artificial Intelligence,"What are the main types of machine learning algorithms?"
Artificial Intelligence,"How do you evaluate the performance of a machine learning model?"
Data Science,"What is a support vector machine?"
Data Science,"How do you handle missing data?"
Data Science,"Explain cross-validation."
Data Science,"What is gradient descent?"
Data Science,"How does a decision tree work?"
Data Science,"What is feature selection and why is it important?"
Data Science,"Explain the difference between a population and a sample."
Data Science,"What is the purpose of normalization in data processing?"
Data Science,"What are the assumptions of linear regression?"
Data Science,"How do you assess the accuracy of a classification model?"
Machine Learning,"Explain the concept of reinforcement learning."
Machine Learning,"What is a confusion matrix?"
Machine Learning,"Describe the bias-variance tradeoff."
Machine Learning,"What is the difference between supervised and unsupervised learning?"
Machine Learning,"Explain the working of K-Means clustering."
Machine Learning,"What is the curse of dimensionality and how can you handle it?"
Machine Learning,"What is the difference between bagging and boosting in ensemble methods?"
Machine Learning,"How does the Naive Bayes classifier work?"
Machine Learning,"What is the ROC curve and how do you interpret it?"
Machine Learning,"Explain the concept of hyperparameter tuning."
Deep Learning,"What is a convolutional neural network?"
Deep Learning,"Explain the concept of transfer learning."
Deep Learning,"How does a recurrent neural network work?"
Deep Learning,"What is the role of activation functions?"
Deep Learning,"Describe the vanishing gradient problem."
Deep Learning,"What are the differences between CNNs and RNNs?"
Deep Learning,"What is dropout in deep learning, and why is it used?"
Deep Learning,"Explain the concept of a generative model."
Deep Learning,"How does a deep autoencoder work?"
Deep Learning,"What is the purpose of batch normalization?"
Generative AI,"What is a GAN (Generative Adversarial Network)?"
Generative AI,"Explain the concept of autoregressive models."
Generative AI,"How does GPT (Generative Pre-trained Transformer) work?"
Generative AI,"What is a VAE (Variational Autoencoder)?"
Generative AI,"Describe diffusion models."
Generative AI,"How do StyleGANs work?"
Generative AI,"What is the difference between a GAN and a VAE?"
Generative AI,"What are transformer architectures used in generative models?"
Generative AI,"How can generative models be used for image generation?"
Generative AI,"What is the role of latent space in generative models?"
